date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:09:51	941509/941509	---M-Z	200	added ('OK')	text/html	etag:%2293facbfa11b4b670fd97f9f18ae07784%22	https://aurashop.framer.website/shirt-blue-women	C:/My%20Web%20Sites/sqshop/aurashop.framer.website/shirt-blue-women.html	(from https://aurashop.framer.website/)
22:09:57	208004/208004	---MC-	200	added ('OK')	image/png	etag:%22d2e017bdd38a7036c0d815cebb9d2347%22	https://framerusercontent.com/images/N8n9AACRdqrIMFeKgglwGq3FdQ.png?width=1024&height=1024	C:/My%20Web%20Sites/sqshop/framerusercontent.com/images/N8n9AACRdqrIMFeKgglwGq3FdQ90ee.png	(from https://aurashop.framer.website/)
22:10:06	942652/942652	---M-Z	200	added ('OK')	text/html	etag:%22427ab1a222fe0c540cb624562336cc64%22	https://aurashop.framer.website/comfort-curves	C:/My%20Web%20Sites/sqshop/aurashop.framer.website/comfort-curves.html	(from https://aurashop.framer.website/)
22:10:10	167954/167954	---MC-	200	added ('OK')	image/png	etag:%226b45f30f13f16f0a04d9bad82e978986%22	https://framerusercontent.com/images/HcYRufuH0L1i8HETbqKloOU2Qo.png?width=1024&height=1024	C:/My%20Web%20Sites/sqshop/framerusercontent.com/images/HcYRufuH0L1i8HETbqKloOU2Qo90ee.png	(from https://aurashop.framer.website/)
22:10:18	925160/925160	---M-Z	200	added ('OK')	text/html	etag:%224edcc16206cf77f16b35834abb282c14%22	https://aurashop.framer.website/white-jeans	C:/My%20Web%20Sites/sqshop/aurashop.framer.website/white-jeans.html	(from https://aurashop.framer.website/)
22:10:24	169153/169153	---MC-	200	added ('OK')	image/png	etag:%220f080b62760ea9652af50fd9acacf0b2%22	https://framerusercontent.com/images/mxOD2EdPpQTvsdb7pn12OcLFBk.png?width=1024&height=1024	C:/My%20Web%20Sites/sqshop/framerusercontent.com/images/mxOD2EdPpQTvsdb7pn12OcLFBk90ee.png	(from https://aurashop.framer.website/)
22:10:27	941458/941458	---M-Z	200	added ('OK')	text/html	etag:%22305928be72241e76f425714b87e0302c%22	https://aurashop.framer.website/shirt-white-women	C:/My%20Web%20Sites/sqshop/aurashop.framer.website/shirt-white-women.html	(from https://aurashop.framer.website/)
22:10:36	118785/118785	---MC-	200	added ('OK')	image/png	etag:%22e5d86f5f9a33f629f2582b50f952ab90%22	https://framerusercontent.com/images/oMv0h3P8whNPGwtUG1VytyL25Nw.png?width=1024&height=1024	C:/My%20Web%20Sites/sqshop/framerusercontent.com/images/oMv0h3P8whNPGwtUG1VytyL25Nw90ee.png	(from https://aurashop.framer.website/)
22:10:40	926406/926406	---M-Z	200	added ('OK')	text/html	etag:%2232f112cd970da10210c00cf8f5060113%22	https://aurashop.framer.website/t-shirt-black-women	C:/My%20Web%20Sites/sqshop/aurashop.framer.website/t-shirt-black-women.html	(from https://aurashop.framer.website/)
22:10:43	38637/38637	---MC-	200	added ('OK')	image/png	etag:%226382b918e906c74064ebe7639421fa30%22	https://framerusercontent.com/images/B73PH8avLmaIeu8V9iY1xeoPTNo.png?width=1024&height=1024	C:/My%20Web%20Sites/sqshop/framerusercontent.com/images/B73PH8avLmaIeu8V9iY1xeoPTNo90ee.png	(from https://aurashop.framer.website/)
22:10:54	941555/941555	---M-Z	200	added ('OK')	text/html	etag:%22a5baa6cd844019ead873f0b29caf7ce8%22	https://aurashop.framer.website/shirt-green-women	C:/My%20Web%20Sites/sqshop/aurashop.framer.website/shirt-green-women.html	(from https://aurashop.framer.website/)
22:10:57	88031/88031	---MC-	200	added ('OK')	image/png	etag:%2239fe6980d3c24c557f2fe2ed8a743a0e%22	https://framerusercontent.com/images/6isPgVJrEoLEhJsfo0Ij8ldZaZg.png?width=1024&height=1024	C:/My%20Web%20Sites/sqshop/framerusercontent.com/images/6isPgVJrEoLEhJsfo0Ij8ldZaZg90ee.png	(from https://aurashop.framer.website/)
22:11:03	182472/182472	---MC-	200	added ('OK')	image/png	etag:%22234fd910855833a99937b5db6e6f22a7%22	https://framerusercontent.com/images/JgKZzDalFFmq4lsQOcpaFTLXBs.png?width=1024&height=1024	C:/My%20Web%20Sites/sqshop/framerusercontent.com/images/JgKZzDalFFmq4lsQOcpaFTLXBs90ee.png	(from https://aurashop.framer.website/)
22:11:06	926027/926027	---M-Z	200	added ('OK')	text/html	etag:%22815117209af3e451256a79173d7aa1bc%22	https://aurashop.framer.website/black-jeans	C:/My%20Web%20Sites/sqshop/aurashop.framer.website/black-jeans.html	(from https://aurashop.framer.website/)
22:11:10	51029/51029	---MC-	200	added ('OK')	image/png	etag:%220a7e1f7ed97c83166cf420f0e10c05b3%22	https://framerusercontent.com/images/z55wVpasPB5T1MXnVmkY91CKA.png?width=1024&height=1024	C:/My%20Web%20Sites/sqshop/framerusercontent.com/images/z55wVpasPB5T1MXnVmkY91CKA90ee.png	(from https://aurashop.framer.website/)
22:11:10	879440/879440	---M-Z	200	added ('OK')	text/html	etag:%220206addb3ed94d754aaa9ac9630b3ef1%22	https://aurashop.framer.website/sneakers-black	C:/My%20Web%20Sites/sqshop/aurashop.framer.website/sneakers-black.html	(from https://aurashop.framer.website/)
22:11:13	836897/836897	---M-Z	200	added ('OK')	text/html	etag:%220d748e05473d082aa173c071bed51b83%22	https://aurashop.framer.website/t-shirt-black-kids	C:/My%20Web%20Sites/sqshop/aurashop.framer.website/t-shirt-black-kids.html	(from https://aurashop.framer.website/)
22:11:14	58668/58668	---MC-	200	added ('OK')	image/png	etag:%22c8014b0d1868a66087b6d31a5eeb5d37%22	https://framerusercontent.com/images/BhQQrZ1sE8Vmk7gijZBfNQ6JzKo.png?width=1024&height=1024	C:/My%20Web%20Sites/sqshop/framerusercontent.com/images/BhQQrZ1sE8Vmk7gijZBfNQ6JzKo90ee.png	(from https://aurashop.framer.website/)
22:11:18	31940/31940	---MC-	200	added ('OK')	image/png	etag:%22a474fc3b872dd3597819394529ecbc55%22	https://framerusercontent.com/images/nxcW6ieYyqUGcBSMpcGqIzYg9Ks.png?width=512&height=512	C:/My%20Web%20Sites/sqshop/framerusercontent.com/images/nxcW6ieYyqUGcBSMpcGqIzYg9Ks20cf.png	(from https://aurashop.framer.website/)
